pair_id,model_a,model_b,size_a,size_b,t_semantic,t_structural,t_behavioral,t_total,behavioral_timed_out_a,behavioral_timed_out_b,structural_overall,behavioral_score,error
52_139,model_53,model_140,18,10,0.02363374998094514,0.00011862500105053186,0.05349812499480322,0.07725124998250976,False,False,0.13125,0.0,
52_140,model_53,model_141,18,14,0.04141025000717491,0.0001294999965466559,0.05490758299129084,0.09644804100389592,False,False,0.13857142857142857,0.0,
52_141,model_53,model_142,18,21,0.051310624985489994,0.00016241701086983085,0.05478637499618344,0.1062602500023786,False,False,0.11666666666666664,0.0,
52_142,model_53,model_143,18,7,0.012942958011990413,0.0001060419890563935,0.05396679200930521,0.06701650001923554,False,False,0.09642857142857142,0.0,
52_143,model_53,model_144,18,26,0.07130287500331178,0.000198333989828825,0.0559427090047393,0.127444750018185,False,False,0.09793103448275862,0.0,
52_144,model_53,model_145,18,17,0.0470378749887459,0.00014641601592302322,0.05516650000936352,0.10235166701022536,False,False,0.1261904761904762,0.0,
52_145,model_53,model_146,18,17,0.043774374993517995,0.00014891699538566172,0.05565637501422316,0.0995804580161348,False,False,0.10095238095238095,0.0,
52_146,model_53,model_147,18,30,0.07757583298371173,0.0002198750153183937,0.16150520800147206,0.23930220800684765,False,False,0.08499999999999999,0.0,
52_147,model_53,model_148,18,35,0.08008633297868073,0.000271833996521309,0.05940570801612921,0.13976516597904265,False,False,0.08395833333333333,0.0,
52_148,model_53,model_149,18,37,0.09035866698832251,0.0002537920081522316,24.64330387499649,24.733918249985436,False,False,0.11846846846846845,0.0,
52_149,model_53,model_150,18,3,0.012445875006960705,0.00011008299770765007,0.05409212500671856,0.06664912501582876,False,False,0.027692307692307693,0.0,
52_150,model_53,model_151,18,11,0.03178579200175591,0.0001315420086029917,0.054984999995213,0.08690312501857989,False,False,0.10196078431372547,0.0,
52_151,model_53,model_152,18,9,0.029936416976852342,0.00011995900422334671,0.053795874991919845,0.08385304198600352,False,False,0.11294117647058823,0.0,
52_152,model_53,model_153,18,21,0.040489083010470495,0.0001706249895505607,0.05583941700751893,0.09649999998509884,False,False,0.08917748917748917,0.0,
52_153,model_53,model_154,18,17,0.06278524998924695,0.0001537080097477883,0.05528912501176819,0.11822924998705275,False,False,0.148,0.0,
53_54,model_54,model_55,8,8,0.009553750016493723,7.633300265297294e-05,0.0008562089933548123,0.010487082996405661,False,False,1.0,1.0,
53_55,model_54,model_56,8,29,0.02793012501206249,0.00016124997637234628,0.006421333004254848,0.0345134999952279,False,False,0.08632034632034631,0.0,
53_56,model_54,model_57,8,5,0.007216250000055879,6.266700802370906e-05,0.0006744590064045042,0.007954083994263783,False,False,0.10785714285714286,0.0,
53_57,model_54,model_58,8,4,0.004473917011637241,5.8542005717754364e-05,0.0006939589802641422,0.005227082991041243,False,False,0.03333333333333333,0.0,
53_58,model_54,model_59,8,6,0.005019625008571893,6.512500112876296e-05,0.0008189579821191728,0.005904334015212953,False,False,0.13333333333333333,0.0,
53_59,model_54,model_60,8,6,0.004918791993986815,6.445898907259107e-05,0.0008177919953595847,0.0058017919945996255,False,False,0.15833333333333333,0.0,
53_60,model_54,model_61,8,21,0.014029333018697798,0.00012016698019579053,0.004402666003443301,0.018552916997577995,False,False,0.08214285714285713,0.0,
53_61,model_54,model_62,8,17,0.0124370830017142,0.00010775000555440784,0.002685624989680946,0.01523116699536331,False,False,0.11083333333333334,0.0,
53_62,model_54,model_63,8,15,0.013915333023760468,9.674998000264168e-05,0.0020243330218363553,0.016037208028137684,False,False,0.09999999999999999,0.0,
53_63,model_54,model_64,8,7,0.009986624994780868,6.795799708925188e-05,0.0007719590212218463,0.010827166988747194,False,False,0.06944444444444445,0.0,
53_64,model_54,model_65,8,8,0.006586167000932619,7.437501335516572e-05,0.13337079199845903,0.14003220800077543,False,False,0.17916666666666664,0.0,
53_65,model_54,model_66,8,45,0.037073457991937175,0.000268584000878036,0.00882858398836106,0.046171416994184256,False,False,0.0748846960167715,0.0,
53_66,model_54,model_67,8,13,0.010973249998642132,9.225000394508243e-05,0.0017610840150155127,0.01282737500150688,False,False,0.12785714285714286,0.0,
53_67,model_54,model_68,8,24,0.017073667026124895,0.00015404200530610979,0.00467675001709722,0.021905208006501198,False,False,0.075,0.0,
53_68,model_54,model_69,8,8,0.009156958985840902,7.02079851180315e-05,0.0009277500212192535,0.010155624971957877,False,False,0.09555555555555556,0.0,
53_69,model_54,model_70,8,30,0.029293458006577566,0.00016104101086966693,0.1896270829893183,0.21908241699566133,False,False,0.061,0.0,
53_70,model_54,model_71,8,14,0.013307000015629455,0.00010033298167400062,0.10399029200198129,0.11739845800912008,False,False,0.07499999999999998,0.0,
53_71,model_54,model_72,8,14,0.01348850000067614,0.00010075001046061516,0.10208854198572226,0.11567850000574253,False,False,0.07499999999999998,0.0,
53_72,model_54,model_73,8,10,0.011988374986685812,7.979199290275574e-05,0.0011392500018700957,0.013207999989390373,False,False,0.16499999999999998,0.0,
53_73,model_54,model_74,8,10,0.011814333993243054,8.191700908355415e-05,0.0011814999743364751,0.013078417017823085,False,False,0.16499999999999998,0.0,
53_74,model_54,model_75,8,4,0.0058195830206386745,5.979099660180509e-05,0.0006100829923525453,0.006490166997537017,False,False,0.08333333333333331,0.0,
53_75,model_54,model_76,8,3,0.0033086659968830645,5.558299017138779e-05,0.0005642090109176934,0.003929082973627374,False,False,0.049999999999999996,0.0,
53_76,model_54,model_77,8,4,0.005139874992892146,5.804200191050768e-05,0.0006004580063745379,0.005799041013233364,False,False,0.08333333333333331,0.0,
53_77,model_54,model_78,8,4,0.005154375015990809,5.691699334420264e-05,0.0006640829960815609,0.005876083014300093,False,False,0.08333333333333331,0.0,
53_78,model_54,model_79,8,3,0.0033292500011157244,5.4500007536262274e-05,0.0005598749849013984,0.0039442919951397926,False,False,0.06999999999999999,0.0,
53_79,model_54,model_80,8,4,0.004821417009225115,5.691699334420264e-05,0.0005979579873383045,0.005476957972859964,False,False,0.08333333333333331,0.0,
53_80,model_54,model_81,8,12,0.011940458993194625,8.200001320801675e-05,0.0012424580054357648,0.013265459012473002,False,False,0.19333333333333333,0.0,
53_81,model_54,model_82,8,20,0.020939124980941415,0.00011341701610945165,0.002223374991444871,0.023276666994206607,False,False,0.13631578947368422,0.0,
53_82,model_54,model_83,8,7,0.00736799999140203,6.766701699234545e-05,0.0009694999898783863,0.008405833999859169,False,False,0.11619047619047618,0.0,
53_83,model_54,model_84,8,8,0.00950004201149568,6.783398566767573e-05,0.0008243339834734797,0.01039295899681747,False,False,0.065,0.0,
53_84,model_54,model_85,8,34,0.03137625000090338,0.00018108301446773112,0.005233875010162592,0.03679191702394746,False,False,0.06928571428571428,0.0,
53_85,model_54,model_86,8,9,0.007909832987934351,7.479099440388381e-05,0.0012423750013113022,0.009227708011167124,False,False,0.09444444444444444,0.0,
53_86,model_54,model_87,8,10,0.00835045799612999,8.05830059107393e-05,0.0012981669860891998,0.009729832992888987,False,False,0.1175,0.0,
53_87,model_54,model_88,8,15,0.00987704101135023,9.283301187679172e-05,0.0022227499866858125,0.012193417001981288,False,False,0.07243589743589743,0.0,
53_88,model_54,model_89,8,15,0.010091167001519352,9.458299609832466e-05,0.0021800840040668845,0.012366375012788922,False,False,0.07243589743589743,0.0,
53_89,model_54,model_90,8,5,0.005268375010928139,6.479100557044148e-05,0.0007831249968148768,0.006116958014899865,False,False,0.05833333333333332,0.0,
